timestamp,engine,profile,payload_kind,payload_size_bytes,payload_size_mb,run_id,total_rows_requested,rows_inserted,batch_size,duration_sec,rows_per_sec,logical_mb_inserted,logical_mb_per_sec,db_size_before_mb,db_size_after_mb,table_total_before_mb,table_total_after_mb,table_data_before_mb,table_data_after_mb,table_index_before_mb,table_index_after_mb,rows_in_table_after,table_storage_amplification
2026-08-17T21:48:33.535898+00:00,mongodb_timeseries,1440p,image,1467123,1.399158,1,2000,2000,50,72.8504,27.45,2798.315,38.412,0.02,755.16,0.012,755.121,0.004,755.082,0.008,0.039,2000,0.2698
2026-08-17T21:48:33.536529+00:00,mongodb_timeseries,1440p,image,1467123,1.399158,2,2000,2000,50,67.8411,29.48,2798.315,41.248,0.051,755.191,0.012,755.121,0.004,755.082,0.008,0.039,2000,0.2698
2026-08-17T21:48:33.536882+00:00,mongodb_timeseries,1440p,image,1467123,1.399158,3,2000,2000,50,71.5239,27.96,2798.315,39.124,0.082,755.195,0.012,755.125,0.004,755.086,0.008,0.039,2000,0.2698
2026-08-17T21:48:33.537207+00:00,mongodb_timeseries,1440p,image,1467123,1.399158,4,2000,2000,50,71.2432,28.07,2798.315,39.278,0.082,755.195,0.012,755.125,0.004,755.086,0.008,0.039,2000,0.2698
2026-08-17T21:48:33.537465+00:00,mongodb_timeseries,1440p,image,1467123,1.399158,5,2000,2000,50,63.2541,31.62,2798.315,44.239,0.082,752.941,0.012,752.871,0.004,752.832,0.008,0.039,2000,0.269
