timestamp,engine,profile,payload_kind,payload_size_bytes,payload_size_mb,run_id,total_rows_requested,rows_inserted,batch_size,duration_sec,rows_per_sec,logical_mb_inserted,logical_mb_per_sec,db_size_before_mb,db_size_after_mb,table_total_before_mb,table_total_after_mb,table_data_before_mb,table_data_after_mb,table_index_before_mb,table_index_after_mb,rows_in_table_after,table_storage_amplification
2026-08-17T17:12:39.380845+00:00,postgresql+timescaledb,720p,image,382610,0.364885,1,2000,2000,50,16.1365,123.94,729.771,45.225,9.325,767.856,0.023,758.547,0.008,758.336,0.016,0.211,2000,1.0394
2026-08-17T17:12:39.381217+00:00,postgresql+timescaledb,720p,image,382610,0.364885,2,2000,2000,50,16.9341,118.1,729.771,43.095,9.333,767.88,0.023,758.547,0.008,758.336,0.016,0.211,2000,1.0394
2026-08-17T17:12:39.381438+00:00,postgresql+timescaledb,720p,image,382610,0.364885,3,2000,2000,50,17.3774,115.09,729.771,41.995,9.356,767.88,0.023,758.547,0.008,758.336,0.016,0.211,2000,1.0394
2026-08-17T17:12:39.381639+00:00,postgresql+timescaledb,720p,image,382610,0.364885,4,2000,2000,50,17.1288,116.76,729.771,42.605,9.364,767.887,0.023,758.547,0.008,758.336,0.016,0.211,2000,1.0394
2026-08-17T17:12:39.381855+00:00,postgresql+timescaledb,720p,image,382610,0.364885,5,2000,2000,50,17.3047,115.58,729.771,42.172,9.372,767.895,0.023,758.547,0.008,758.336,0.016,0.211,2000,1.0394
