timestamp,engine,profile,payload_kind,payload_size_bytes,payload_size_mb,run_id,total_rows_requested,rows_inserted,batch_size,duration_sec,rows_per_sec,logical_mb_inserted,logical_mb_per_sec,db_size_before_mb,db_size_after_mb,table_total_before_mb,table_total_after_mb,table_data_before_mb,table_data_after_mb,table_index_before_mb,table_index_after_mb,rows_in_table_after,table_storage_amplification
2026-04-08T00:41:51.378223+00:00,postgresql+timescaledb,1440p_qhd_image,image,1467123,1.399158,1,2000,2000,50,40.1428,49.82,2798.315,69.709,9.364,2916.934,0.023,2907.586,0.008,2907.391,0.016,0.195,2000,1.039
2026-04-08T00:42:32.010373+00:00,postgresql+timescaledb,1440p_qhd_image,image,1467123,1.399158,2,2000,2000,50,40.2198,49.73,2798.315,69.576,9.395,2916.966,0.023,2907.586,0.008,2907.391,0.016,0.195,2000,1.039
2026-04-08T00:43:12.608430+00:00,postgresql+timescaledb,1440p_qhd_image,image,1467123,1.399158,3,2000,2000,50,40.1499,49.81,2798.315,69.697,9.403,2917.012,0.023,2907.586,0.008,2907.391,0.016,0.195,2000,1.039
2026-04-08T00:43:53.099028+00:00,postgresql+timescaledb,1440p_qhd_image,image,1467123,1.399158,4,2000,2000,50,40.0669,49.92,2798.315,69.841,9.45,2917.044,0.023,2907.586,0.008,2907.391,0.016,0.195,2000,1.039
2026-04-08T00:44:34.861175+00:00,postgresql+timescaledb,1440p_qhd_image,image,1467123,1.399158,5,2000,2000,50,41.3182,48.4,2798.315,67.726,9.481,2917.044,0.023,2907.586,0.008,2907.391,0.016,0.195,2000,1.039
