timestamp,engine,profile,payload_kind,payload_size_bytes,payload_size_mb,run_id,total_rows_requested,rows_inserted,batch_size,duration_sec,rows_per_sec,logical_mb_inserted,logical_mb_per_sec,db_size_before_mb,db_size_after_mb,table_total_before_mb,table_total_after_mb,table_data_before_mb,table_data_after_mb,table_index_before_mb,table_index_after_mb,rows_in_table_after,table_storage_amplification
2026-04-08T00:39:33.903883+00:00,postgresql+timescaledb,1080p_fhd_image,image,843546,0.804468,1,2000,2000,50,22.4353,89.15,1608.936,71.714,9.302,1680.661,0.023,1671.359,0.008,1671.164,0.016,0.195,2000,1.0388
2026-04-08T00:39:56.557102+00:00,postgresql+timescaledb,1080p_fhd_image,image,843546,0.804468,2,2000,2000,50,22.3634,89.43,1608.936,71.945,9.325,1680.661,0.023,1671.359,0.008,1671.164,0.016,0.195,2000,1.0388
2026-04-08T00:40:19.492234+00:00,postgresql+timescaledb,1080p_fhd_image,image,843546,0.804468,3,2000,2000,50,22.6491,88.3,1608.936,71.038,9.333,1680.669,0.023,1671.359,0.008,1671.164,0.016,0.195,2000,1.0388
2026-04-08T00:40:42.443933+00:00,postgresql+timescaledb,1080p_fhd_image,image,843546,0.804468,4,2000,2000,50,22.6482,88.31,1608.936,71.04,9.333,1680.669,0.023,1671.359,0.008,1671.164,0.016,0.195,2000,1.0388
2026-04-08T00:41:05.258289+00:00,postgresql+timescaledb,1080p_fhd_image,image,843546,0.804468,5,2000,2000,50,22.5225,88.8,1608.936,71.437,9.348,1680.54,0.023,1671.359,0.008,1671.164,0.016,0.195,2000,1.0388
