timestamp,engine,profile,payload_kind,payload_size_bytes,payload_size_mb,run_id,total_rows_requested,rows_inserted,batch_size,duration_sec,rows_per_sec,logical_mb_inserted,logical_mb_per_sec,db_size_before_mb,db_size_after_mb,table_total_before_mb,table_total_after_mb,table_data_before_mb,table_data_after_mb,table_index_before_mb,table_index_after_mb,rows_in_table_after,table_storage_amplification
2026-04-08T01:50:56.480700+00:00,postgresql+timescaledb,5k_uhd_image,image,5333253,5.086186,1,2000,2000,50,189.3487,10.56,10172.373,53.723,9.067,10564.114,0.023,10555.055,0.008,10554.852,0.016,0.203,2000,1.0376
2026-04-08T01:54:06.855687+00:00,postgresql+timescaledb,5k_uhd_image,image,5333253,5.086186,2,2000,2000,50,188.9093,10.59,10172.373,53.848,9.091,10564.145,0.023,10555.055,0.008,10554.852,0.016,0.203,2000,1.0376
2026-04-08T01:57:20.139506+00:00,postgresql+timescaledb,5k_uhd_image,image,5333253,5.086186,3,2000,2000,50,191.8171,10.43,10172.373,53.032,9.122,10564.169,0.023,10555.055,0.008,10554.852,0.016,0.203,2000,1.0376
2026-04-08T02:00:33.827636+00:00,postgresql+timescaledb,5k_uhd_image,image,5333253,5.086186,4,2000,2000,50,192.15,10.41,10172.373,52.94,9.145,10564.184,0.023,10555.055,0.008,10554.852,0.016,0.203,2000,1.0376
2026-04-08T02:03:48.945248+00:00,postgresql+timescaledb,5k_uhd_image,image,5333253,5.086186,5,2000,2000,50,193.6092,10.33,10172.373,52.541,9.169,10564.216,0.023,10555.055,0.008,10554.852,0.016,0.203,2000,1.0376
