profile,postgres_insert_rows_per_sec,postgres_storage_amp,postgres_retrieve_ms,postgres_point_read_ms,postgres_carbon_mg,postgres_minio_insert_rows_per_sec,postgres_minio_storage_amp,postgres_minio_retrieve_ms,postgres_minio_point_read_ms,postgres_minio_carbon_mg,mongodb_insert_rows_per_sec,mongodb_storage_amp,mongodb_retrieve_ms,mongodb_point_read_ms,mongodb_carbon_mg
360p,640.85,1.0452,788.518,1.268,191.11,74.37,1.0029,1497.218,1.092,933.2,4194.1,0.0008,215.888,3.366,40.138
480p,452.6,1.0435,1376.95,0.965,293.654,44.68,1.0016,1487.475,1.928,1490.779,2532.41,0.0,479.395,3.665,74.203
720p,185.7,1.0394,3057.719,1.777,667.944,40.36,1.0007,1706.939,1.22,1587.894,760.32,0.1005,1188.499,4.298,194.252
1080p,81.52,1.0388,8238.587,3.884,1507.326,34.38,1.0003,2211.168,1.779,1852.532,311.32,0.1005,2895.788,5.171,457.309
1440p,43.78,1.039,13433.093,6.523,2592.298,32.79,1.0002,2879.904,1.799,2035.038,114.21,0.2692,5286.784,7.736,1048.589
4k,19.81,1.0378,29883.794,17.055,5639.949,27.29,1.0001,4273.046,2.122,2628.14,15.99,1.5865,11669.308,25.379,5739.537
5k,11.56,1.0376,53638.369,29.548,9866.586,15.26,1.0001,5833.412,3.314,5113.602,6.96,3.0036,31821.225,69.826,13564.411
6k,8.13,1.0377,76059.048,39.594,13908.609,13.05,1.0,8634.488,5.153,6071.955,,,,,
