timestamp,engine,profile,payload_kind,payload_size_bytes,payload_size_mb,run_id,total_rows_requested,rows_inserted,batch_size,duration_sec,rows_per_sec,logical_mb_inserted,logical_mb_per_sec,db_size_before_mb,db_size_after_mb,table_total_before_mb,table_total_after_mb,table_data_before_mb,table_data_after_mb,table_index_before_mb,table_index_after_mb,rows_in_table_after,table_storage_amplification
2026-06-05T09:26:32.123139+00:00,postgresql+timescaledb+minio,4k,image,3138125,2.992749,1,2000,2000,50,74.8779,26.71,5985.498,79.937,9.536,5995.55,0.023,5986.03,0.008,5985.811,0.016,0.219,2000,1.0001
2026-06-05T09:26:32.123246+00:00,postgresql+timescaledb+minio,4k,image,3138125,2.992749,2,2000,2000,50,72.9026,27.43,5985.498,82.103,9.544,5995.566,0.023,5986.03,0.008,5985.811,0.016,0.219,2000,1.0001
2026-06-05T09:26:32.123297+00:00,postgresql+timescaledb+minio,4k,image,3138125,2.992749,3,2000,2000,50,71.1888,28.09,5985.498,84.079,9.559,5995.566,0.023,5986.03,0.008,5985.811,0.016,0.219,2000,1.0001
2026-06-05T09:26:32.123342+00:00,postgresql+timescaledb+minio,4k,image,3138125,2.992749,4,2000,2000,50,74.0842,27.0,5985.498,80.793,9.559,5995.573,0.023,5986.03,0.008,5985.811,0.016,0.219,2000,1.0001
2026-06-05T09:26:32.123393+00:00,postgresql+timescaledb+minio,4k,image,3138125,2.992749,5,2000,2000,50,73.5086,27.21,5985.498,81.426,9.567,5995.573,0.023,5986.03,0.008,5985.811,0.016,0.219,2000,1.0001
