timestamp,engine,profile,payload_kind,payload_size_bytes,payload_size_mb,run_id,total_rows_requested,rows_inserted,batch_size,duration_sec,rows_per_sec,logical_mb_inserted,logical_mb_per_sec,db_size_before_mb,db_size_after_mb,table_total_before_mb,table_total_after_mb,table_data_before_mb,table_data_after_mb,table_index_before_mb,table_index_after_mb,rows_in_table_after,table_storage_amplification
2026-08-17T14:30:35.920698+00:00,postgresql+timescaledb+minio,720p,image,92255,0.087981,1,2000,2000,50,5.9454,336.39,175.962,29.596,9.317,185.802,0.023,176.493,0.008,176.274,0.016,0.219,2000,1.003
2026-08-17T14:30:35.920992+00:00,postgresql+timescaledb+minio,720p,image,92255,0.087981,2,2000,2000,50,6.8871,290.4,175.962,25.549,9.333,185.802,0.023,176.493,0.008,176.274,0.016,0.219,2000,1.003
2026-08-17T14:30:35.921197+00:00,postgresql+timescaledb+minio,720p,image,92255,0.087981,3,2000,2000,50,6.4247,311.3,175.962,27.388,9.341,185.81,0.023,176.493,0.008,176.274,0.016,0.219,2000,1.003
2026-08-17T14:30:35.921401+00:00,postgresql+timescaledb+minio,720p,image,92255,0.087981,4,2000,2000,50,6.4395,310.58,175.962,27.325,9.341,185.81,0.023,176.493,0.008,176.274,0.016,0.219,2000,1.003
2026-08-17T14:30:35.921599+00:00,postgresql+timescaledb+minio,720p,image,92255,0.087981,5,2000,2000,50,6.4226,311.4,175.962,27.397,9.356,185.834,0.023,176.493,0.008,176.274,0.016,0.219,2000,1.003
