timestamp,engine,profile,payload_kind,query_id,run_id,latency_ms,payload_size_bytes
2026-08-17T14:35:44.581029+00:00,mongodb_timeseries,480p,image,Q_latest_payload_by_device,1,3.038,50252
2026-08-17T14:35:44.581259+00:00,mongodb_timeseries,480p,image,Q_latest_payload_by_device,2,4.204,50252
2026-08-17T14:35:44.581444+00:00,mongodb_timeseries,480p,image,Q_latest_payload_by_device,3,4.476,50252
2026-08-17T14:35:44.581620+00:00,mongodb_timeseries,480p,image,Q_latest_payload_by_device,4,2.319,50252
2026-08-17T14:35:44.581776+00:00,mongodb_timeseries,480p,image,Q_latest_payload_by_device,5,2.125,50252
