profile,postgres_insert_rows_per_sec,postgres_storage_amp,postgres_retrieve_ms,postgres_point_read_ms,postgres_carbon_mg,postgres_minio_insert_rows_per_sec,postgres_minio_storage_amp,postgres_minio_retrieve_ms,postgres_minio_point_read_ms,postgres_minio_carbon_mg,mongodb_insert_rows_per_sec,mongodb_storage_amp,mongodb_retrieve_ms,mongodb_point_read_ms,mongodb_carbon_mg
360p,,,,,,,,,,,,,,,
480p,,,,,,,,,,,,,,,
720p,,,,,,,,,,,,,,,
1080p,406.46,0.891,1709.493,0.67,28.226,92.45,0.8593,1740.031,0.9,83.009,509.25,0.8287,436.107,3.752,19.569
1440p,,,,,,,,,,,,,,,
4k,,,,,,,,,,,,,,,
5k,,,,,,,,,,,,,,,
6k,,,,,,,,,,,,,,,
