timestamp,engine,profile,payload_kind,payload_size_bytes,payload_size_mb,run_id,total_rows_requested,rows_inserted,batch_size,duration_sec,rows_per_sec,logical_mb_inserted,logical_mb_per_sec,db_size_before_mb,db_size_after_mb,table_total_before_mb,table_total_after_mb,table_data_before_mb,table_data_after_mb,table_index_before_mb,table_index_after_mb,rows_in_table_after,table_storage_amplification
2026-08-17T15:18:19.142262+00:00,postgresql+timescaledb,1080p,image,137992,0.131599,1,2000,2000,50,4.4039,454.14,263.199,59.765,9.067,243.536,0.023,234.477,0.008,234.266,0.016,0.211,2000,0.8909
2026-08-17T15:18:19.142541+00:00,postgresql+timescaledb,1080p,image,137992,0.131599,2,2000,2000,50,4.8895,409.04,263.199,53.829,9.091,243.591,0.023,234.5,0.008,234.289,0.016,0.211,2000,0.891
2026-08-17T15:18:19.142749+00:00,postgresql+timescaledb,1080p,image,137992,0.131599,3,2000,2000,50,5.3364,374.79,263.199,49.322,9.122,243.677,0.023,234.57,0.008,234.352,0.016,0.219,2000,0.8912
2026-08-17T15:18:19.142946+00:00,postgresql+timescaledb,1080p,image,137992,0.131599,4,2000,2000,50,5.498,363.77,263.199,47.872,9.137,243.606,0.023,234.477,0.008,234.258,0.016,0.219,2000,0.8909
2026-08-17T15:18:19.143140+00:00,postgresql+timescaledb,1080p,image,137992,0.131599,5,2000,2000,50,4.6451,430.56,263.199,56.662,9.169,243.661,0.023,234.5,0.008,234.281,0.016,0.219,2000,0.891
