timestamp,engine,profile,payload_kind,payload_size_bytes,payload_size_mb,run_id,total_rows_requested,rows_inserted,batch_size,duration_sec,rows_per_sec,logical_mb_inserted,logical_mb_per_sec,db_size_before_mb,db_size_after_mb,table_total_before_mb,table_total_after_mb,table_data_before_mb,table_data_after_mb,table_index_before_mb,table_index_after_mb,rows_in_table_after,table_storage_amplification
2026-04-07T15:44:50.957053+00:00,postgresql+timescaledb,5k_image,image,5333253,5.086186,1,2000,2000,50,146.6566,13.64,10172.373,69.362,9.356,10564.387,0.023,10555.047,0.008,10554.852,0.016,0.195,2000,1.0376
2026-04-07T15:47:18.850858+00:00,postgresql+timescaledb,5k_image,image,5333253,5.086186,2,2000,2000,50,146.7299,13.63,10172.373,69.327,9.387,10564.419,0.023,10555.047,0.008,10554.852,0.016,0.195,2000,1.0376
2026-04-07T15:49:47.441115+00:00,postgresql+timescaledb,5k_image,image,5333253,5.086186,3,2000,2000,50,147.4306,13.57,10172.373,68.998,9.395,10564.419,0.023,10555.047,0.008,10554.852,0.016,0.195,2000,1.0376
2026-04-07T15:52:16.751295+00:00,postgresql+timescaledb,5k_image,image,5333253,5.086186,4,2000,2000,50,148.1604,13.5,10172.373,68.658,9.395,10564.45,0.023,10555.047,0.008,10554.852,0.016,0.195,2000,1.0376
2026-04-07T15:54:46.916559+00:00,postgresql+timescaledb,5k_image,image,5333253,5.086186,5,2000,2000,50,148.934,13.43,10172.373,68.301,9.427,10564.458,0.023,10555.047,0.008,10554.852,0.016,0.195,2000,1.0376
