timestamp,engine,profile,payload_kind,payload_size_bytes,payload_size_mb,run_id,total_rows_requested,rows_inserted,batch_size,duration_sec,rows_per_sec,logical_mb_inserted,logical_mb_per_sec,db_size_before_mb,db_size_after_mb,table_total_before_mb,table_total_after_mb,table_data_before_mb,table_data_after_mb,table_index_before_mb,table_index_after_mb,rows_in_table_after,table_storage_amplification
2026-04-07T14:44:43.391652+00:00,mongodb_timeseries,1080p_fhd_image,image,843546,0.804468,1,2000,2000,50,6.1193,326.84,1608.936,262.929,0.02,161.738,0.012,161.73,0.004,161.723,0.008,0.008,2000,0.1005
2026-04-07T14:44:49.438649+00:00,mongodb_timeseries,1080p_fhd_image,image,843546,0.804468,2,2000,2000,50,5.9198,337.85,1608.936,271.789,0.02,161.738,0.012,161.73,0.004,161.723,0.008,0.008,2000,0.1005
2026-04-07T14:44:55.436141+00:00,mongodb_timeseries,1080p_fhd_image,image,843546,0.804468,3,2000,2000,50,5.8148,343.95,1608.936,276.696,0.02,161.738,0.012,161.73,0.004,161.723,0.008,0.008,2000,0.1005
2026-04-07T14:45:01.390834+00:00,mongodb_timeseries,1080p_fhd_image,image,843546,0.804468,4,2000,2000,50,5.7789,346.09,1608.936,278.415,0.02,161.738,0.012,161.73,0.004,161.723,0.008,0.008,2000,0.1005
2026-04-07T14:45:07.578645+00:00,mongodb_timeseries,1080p_fhd_image,image,843546,0.804468,5,2000,2000,50,5.9992,333.38,1608.936,268.193,0.02,161.738,0.012,161.73,0.004,161.723,0.008,0.008,2000,0.1005
