profile,profile_label,pg_insert_duration_sec,pg_retrieval_duration_sec,pg_point_read_duration_sec,pg_duration_sec,pg_energy_uwh,pg_cpu_uwh,pg_ram_uwh,pg_insert_emissions_mg,pg_retrieval_emissions_mg,pg_point_read_emissions_mg,pg_emissions_mg,pm_insert_duration_sec,pm_retrieval_duration_sec,pm_point_read_duration_sec,pm_duration_sec,pm_energy_uwh,pm_cpu_uwh,pm_ram_uwh,pm_insert_emissions_mg,pm_retrieval_emissions_mg,pm_point_read_emissions_mg,pm_emissions_mg
360p_sd_image,360p,13.546499999999998,3.72551,3.72551,17.272009999999998,218.4365091946089,122.48296897144658,95.95354022316232,115.80086751212906,31.847140584292024,31.847140584292024,147.64800809642108,96.251,7.333115,7.333115,103.58411500000001,979.3404099340099,403.8923342594641,575.4480756745457,615.1034035904202,46.86313903668496,46.86313903668496,661.9665426271051
480p_sd_image,480p,21.046,6.366545,6.366545,27.412545,346.6823281100539,194.39369816618816,152.28862994386566,179.90957499429877,54.423757727457854,54.423757727457854,234.33333272175662,176.2095,7.65914,7.65914,183.86864,1738.3938577030742,716.9355475664688,1021.4583101366053,1126.0876582577444,48.94664037335229,48.94664037335229,1175.0342986310966
720p_hd_image,720p,48.762,13.570715,13.570715,62.332715,788.3124588986713,442.0270713860763,346.28538751259487,416.83696169685436,116.00786695898296,116.00786695898296,532.8448286558373,193.885,8.407720000000001,8.407720000000001,202.29272,1912.5851037243103,788.7742139274558,1123.8108897968543,1239.0450323126888,53.73052943278769,53.73052943278769,1292.7755617454766
1080p_fhd_image,1080p,108.872,32.71924,32.71924,141.59124,1790.68308773189,1004.0820643080133,786.6010234238767,930.6811388757625,279.69707129794074,279.69707129794074,1210.3782101737033,262.86449999999996,10.955680000000001,10.955680000000001,273.82017999999994,2588.8445089230554,1067.6721200692461,1521.172388853809,1679.8666884821353,70.01356927873472,70.01356927873472,1749.8802577608699
1440p_qhd_image,1440p,198.024,56.275119999999994,56.275119999999994,254.29912,3216.08267156289,1803.3402727549467,1412.7423988079431,1692.787877918418,481.06209835375665,481.06209835375665,2173.8499762721744,288.264,12.92848,12.92848,301.19248,2847.6370805720653,1174.4014399176644,1673.2356406544004,1842.1851984144464,82.62098109370994,82.62098109370994,1924.8061795081564
4k_uhd_image,4K,434.161,130.417115,130.417115,564.578115,7140.1343913228675,4003.657000054007,3136.4773912688606,3711.3808319443006,1114.8573473169527,1114.8573473169527,4826.238179261253,352.476,19.286095000000003,19.286095000000003,371.762095,3514.840499580716,1449.564543161262,2065.2759564194535,2252.539581759534,123.25007196255818,123.25007196255818,2375.789653722092
5k_uhd_image,5K,760.183,232.822795,232.822795,993.005795,12558.394736328746,7041.814935114769,5516.579801213975,6498.346500422457,1990.261812098962,1990.261812098962,8488.608312521419,642.3705,28.693815,28.693815,671.064315,6344.606036786485,2616.595533239612,3728.010503546872,4105.1446833391865,183.37121971193915,183.37121971193915,4288.515903051126
